연번,행정동,노선명,기점,종점,열선연장(m) (1차로 기준),차로수,설치년도,설치월,비고,기점위도,기점경도,종점위도,종점경도
1,구의2동,동의초 통학로,구의2동 34-8,구의2동 81-3,278,2,2022,11,,37.55251198,127.0955526,37.55303869,127.0970084
2,구의2동,동의초 통학로,구의2동 23-26,구의2동 23-30,76,2,2022,11,,37.55275031,127.0956432,37.55362639,127.097029
3,중곡4동,용곡초 통학로,용곡초등학교,용곡초등학교,76,1,2022,11,,36.47125,127.07551,36.47125,127.07551
4,중곡3동,용마산로33길,중곡3동 194-19,중곡3동 608-6,160,2,2022,11,,37.57011823,127.0851109,37.57023462,127.0858836
5,광장동,광진정보도서관,아차산로78길 90,아차산로78길 90,140,2,2022,11,,37.55107291,127.1106155,37.55107291,127.1106155
6,광장동,현대리버빌 앞,아차산로78가길 17,아차산로78가길 17,140,2,2022,11,,37.54942365,127.1099301,37.54942365,127.1099301
7,중곡4동,용암사입구,중곡4동 176-144,중곡4동 176-42,229,1~1.5,2023,9,,37.56759873,127.0882531,37.56722554,127.0900387
8,중곡4동,뻥튀기골,중곡4동 297-6,중곡4동 176-110,348,1.5,2023,9,,37.56830993,127.0866048,37.56823961,127.0894432
9,중곡4동,용마산로34길,중곡4동 289-2,중곡4동 287-2,187,1,2023,9,,37.56997935,127.0864071,37.56988864,127.0883296
10,중곡4동,용마산로32길,중곡4동 289-10,중곡4동 294-1,237,1,2023,9,,37.56944412,127.0863372,37.56925382,127.0885392
11,중곡4동,대원외고 앞,중곡4동 21-11,중곡4동 271-1,260,2,2023,9,,37.56339364,127.0872268,37.56357942,127.0884452
12,구의2동,영화사로16길,구의2동 143-1,구의2동 21-32,170,1,2023,9,,37.55445843,127.0947407,37.554098,127.0963391
13,구의2동,영화사로11길,구의2동 556-6,구의2동 549-3,210,1,2023,11,,37.55512909,127.0934398,37.55613364,127.0949858
14,구의2동,영화사로13길,구의2동 558-11,구의2동 551-2,220,1,2023,11,,37.55489771,127.0936676,37.5559342,127.0952676
15,구의2동,영화사로16가길,구의2동 22-34,구의2동 22-27,50,1,2023,11,,37.55342806,127.0951785,37.5536342,127.0954052
16,구의2동,영화사로9가길,구의2동 549-3,중곡4동 104-11,70,1,2023,11,,37.55613364,127.0949858,37.5564524,127.0946627
17,중곡4동,긴고랑로41길,중곡4동 70-12,중곡4동 69-5,67,1,2024,9,,37.55934196,127.0928868,37.5589024,127.0924997
18,중곡3동,능동로55길,중곡3동 168-1,중곡3동 169-11,60,2,2024,9,,37.56803426,127.0852031,37.56826508,127.0853505
19,중곡4동,용마산로36길,중곡4동 605-1,중곡4동 599-2,170,1,2024,9,,37.57072581,127.0864255,37.57070987,127.0881186
20,중곡2동,능동로48길,중곡2동 36-2,중곡2동 35-2,30,1,2024,9,,37.56182561,127.085907,37.56211734,127.0862995
21,구의2동,자양로44길 구의2동 어린이집,구의2동 43-11,구의2동 36-20,90,1,2024,6,,37.5498788,127.0951258,37.55019377,127.0962641
22,자양1동,자양로13다길 경복초 통학로,자양1동 609-17,자양1동 609-16,30,2,2024,6,,37.53330985,127.0772557,37.53339379,127.0771714
23,자양1동,자양로13다길,자양1동 609-17,자양1동 609-16,30,2,2024,6,,37.53330985,127.0772557,37.53339379,127.0771714
24,자양1동,뚝섬로59길,자양1동 659-20,자양1동 659-32,40,1,2024,6,,37.53249517,127.0839814,37.53205394,127.0841247
25,자양1동,자양번영로8길,자양1동 610,자양1동 611-5,25,1,2024,6,,37.53429006,127.0762598,37.53447401,127.0763254
26,능동,능동로30길23,능동 320-56,능동 320-58,50,2,2024,6,,37.55394253,127.079059,37.55378672,127.0789716
27,광장동,아차산로78길12,광장동 121,광장동 148-4,150,2,2024,7,,37.55039956,127.1093022,37.5496542,127.1088737
28,광장동,아차산로75길,광장동 244-24,광장동 241-1,40,2,2024,7,,37.54600113,127.1047544,37.54577695,127.1044688
29,구의2동,천호대로137길,구의동 57-30,구의동 57-120,55,1,2024,7,,37.54945625,127.092837,37.54962959,127.0929759
30,중곡4동,긴고랑로39길,중곡동 71,중곡동 72-10,50,1,2024,10,,37.33336,127.05357,37.55929112,127.0940481
31,화양동,능동로 17길,화양동 132-34,화양동 132-63,30,1,2024,10,,37.54690739,127.070613,37.54689867,127.0704382
32,구의2동,동의초 통학로 보도열선,구의동 662,구의동 23-29,30,1,2024,10,,37.55401712,127.0970799,37.55349772,127.0971509
33,중곡4동,용마산로8가길,중곡동 150-323,중곡동 150-300,60,1~2,,,2025년 상반기 설치 예정,37.56186189,127.0886367,37.56179674,127.0893652
34,구의2동,자양로44길,구의동 37-9,구의동 33-1,240,1~2,,,2025년 상반기 설치 예정,37.55058962,127.0970963,37.55244895,127.0952818
35,능동,천호대로110길,능동 225-5,능동 284-1,50,1~2,,,2025년 상반기 설치 예정,37.55422379,127.0785701,37.55388543,127.0786168
36,구의3동,아차산로58가길,구의동 591,구의동 591-5,30,1~2,,,2025년 상반기 설치 예정,37.53564942,127.0895865,37.53565647,127.0897845
37,구의2동,자양로41길,구의동 75-6,구의동 77-33,30,1~2,,,2025년 상반기 설치 예정,37.55045812,127.0891498,37.55040759,127.0888892
38,광장동,아차산로78길,광장동 107,광장동 102,86,1~2,,,2025년 상반기 설치 예정,37.55162966,127.1098217,37.55161942,127.1109472
39,자양2동,자양로4길,뚝섬로64길 45,구의강변로11,110,1~2,,,2025년 상반기 설치 예정,37.53221959,127.0901621,37.53225979,127.0909604
40,화양동,능동로,화양동 111-12,화양동 111-117,45,1~2,,,2025년 상반기 설치 예정,37.54601801,127.0740012,37.54647038,127.0740365
41,구의1동,자양로163,구의동 254-36,구의동 254-44,70,1~2,,,2025년 상반기 설치 예정,37.5422426,127.0837781,37.54223507,127.0832125